3500	11750	250
2.0	5.0	0.5
	8	g	r	i	z	J	H	K
5750.0	4.5	3328049.6781375804	2945805.0929774204	2090999.4977343185	1497931.188242148	733382.9943432926	366110.36833848705	151193.67946975137
5750.0	5.0	3303191.320051798	2955202.0633607395	2100210.549070623	1503834.822084806	735119.2753041459	367339.69026489154	151641.75536779687
6000.0	2.0	4560219.956952929	3540099.2514711893	2386263.1848591883	1695040.3376046736	797100.4462889086	373084.30926848267	155984.16225227498
6000.0	2.5	4482592.515383388	3513064.5553114205	2384258.9605534025	1686962.9545832288	797157.3245557793	376006.1192840626	156787.28904124314
6000.0	3.0	4405841.30352822	3488178.371168087	2381575.4924201416	1681489.1887649973	796898.3553509776	378492.4295476994	157387.6882495818
6000.0	3.5	4335283.726488701	3469702.567394129	2380483.3642371804	1678738.8962824813	796639.7773604409	380578.09122502373	157896.6622414253
6000.0	4.0	4276321.450795034	3460273.748556762	2383471.1584415017	1679940.9582526076	797356.1279220798	382885.0531238042	158436.38341764986
6000.0	4.5	4226580.15422201	3459533.182791614	2389751.6551889395	1684095.6722353227	798633.4884382515	384899.666210959	158965.04193377114
6000.0	5.0	4182032.7697312706	3465772.896573983	2399325.3749156245	1690370.9583909854	800357.0470564625	386538.2484341908	159467.21365238779
6250.0	2.0	5844567.946368543	4144175.101925433	2691505.3476885497	1893885.6467185274	859633.9453165823	388120.92823317123	162689.7586534334
6250.0	2.5	5718325.070224625	4110493.7858053236	2694060.4311816697	1883375.617425976	860980.1185495292	391795.8559490067	163794.6625105853
6250.0	3.0	5591659.401818606	4076515.29323877	2694325.0099884016	1875537.6280617553	861626.0051434783	394950.9728030352	164652.49678481775
6250.0	3.5	5470389.48892587	4047415.133993322	2694436.5734207695	1871745.0406630824	861917.0838372456	397893.8532372812	165369.00874299242
6250.0	4.0	5365099.709180112	4028202.4388533887	2697509.107136113	1871809.1226357496	862851.1615175436	400712.661993175	166041.01590430885
6250.0	4.5	5275503.7917318875	4017337.159190721	2702989.0598230097	1874978.4424286755	863976.6789972851	403164.33767850243	166644.3232818824
6250.0	5.0	5200289.856691732	4016466.812272186	2711738.927406656	1881249.839741524	865726.4637773169	405504.02232850535	167250.0547207348
6500.0	2.0	7540468.594634952	4882472.845469644	3034648.3220508667	2117268.026910873	927808.840670996	404788.5806878618	169762.8017109148
6500.0	2.5	7178076.294176622	4765979.737455	3016670.3184639425	2087460.522345115	924322.0256161605	406911.62467201066	170706.81743468915
6500.0	3.0	6986025.480066867	4723309.022387447	3021485.368214989	2077382.949172931	926137.8042381355	410751.7632014904	171821.1220818433
6500.0	3.5	6802873.351642887	4683326.131308104	3024556.0776698967	2071923.961457834	927569.3018108457	414518.8619489209	172784.13669383334
6500.0	4.0	6633730.370310724	4648671.6890017195	3026414.5120411073	2069322.9881216246	928396.091863352	417909.7785122462	173600.29393271226
6500.0	4.5	6489082.486834153	4622993.057923956	3030201.721920782	2070700.0311733624	929553.5620775934	421095.4528529415	174297.35019558438
6500.0	5.0	6367356.9111414775	4608692.219839618	3036591.68977763	2075595.4406065785	931042.586536474	423982.4818459481	174959.73202920673
6750.0	2.0	9481816.846422823	5680590.223564124	3399320.0205119266	2352750.9285545894	996297.4425484376	421143.4978343571	177085.34023314004
6750.0	2.5	9040214.144342966	5547833.300873355	3371962.186601574	2310408.346352448	992380.3074141146	423162.8790008763	177741.6093971367
6750.0	3.0	8605899.522835508	5431795.049477293	3363353.33631134	2287425.5807262533	991076.66163786	426314.79618420906	179005.13198373656
6750.0	3.5	8339731.759553662	5377544.699532667	3368431.5059338645	2277999.7305503134	992949.908639987	430546.4939966813	180128.7992152423
6750.0	4.0	8095512.687929342	5327334.719425803	3371429.92462793	2273083.351683039	994339.8697924218	434543.4187594962	181086.1664943935
6750.0	4.5	7878429.107566253	5281247.91269342	3371758.278929297	2271310.5469888328	995038.1605321734	438419.64204177423	181844.44140344422
6750.0	5.0	7692325.146753264	5249957.009339392	3376524.5696981875	2275199.7035710346	996344.3291788411	441905.2274266744	182593.65454689102
7000.0	2.0	11766664.523101063	6481209.59233091	3748246.0985728796	2579565.4630570165	1059028.671350179	435991.80552132765	183962.95919531301
7000.0	2.5	11166515.110964056	6400175.42704415	3755036.1520537944	2549564.5789727345	1062110.4893747345	440014.43276868836	185268.72672467586
7000.0	3.0	10575143.378225317	6235442.665136781	3723857.320503625	2507233.312865814	1057061.0130602624	441969.44068265555	186008.20014266396
7000.0	3.5	10102959.078454234	6133230.126013986	3726394.565095039	2490951.551953373	1058603.0268589396	446316.1013793504	187431.09836408868
7000.0	4.0	9759904.558601385	6063831.547539103	3730229.621116184	2482606.2243860955	1060269.8888400537	450893.1363368411	188512.34330138992
7000.0	4.5	9451942.436063094	5996435.3427290935	3728917.757353678	2477723.570829903	1060871.7168292252	455248.0477958298	189370.72516937167
7000.0	5.0	9185698.124254994	5944765.761983166	3732134.846225625	2479643.083312028	1062113.6993005269	459456.9871616684	190204.93286488205
7250.0	2.0	14360449.438481221	7293853.38121678	4084517.951913134	2801229.649694607	1118438.3493772058	450606.4940807238	190454.04173680133
7250.0	2.5	13630241.469781674	7254375.649808005	4123985.726988492	2780362.413178619	1126729.3881878625	455690.31848767947	192509.31689059548
7250.0	3.0	12877909.3097943	7141845.317142286	4122036.4839763143	2745612.45623112	1127680.0835959874	458947.90391714685	193563.16215507768
7250.0	3.5	12162183.723132804	6960395.566284944	4094577.578582855	2708123.4851182993	1123807.6866930467	461776.97181629966	194549.66307457857
7250.0	4.0	11635365.30509036	6854993.260657905	4098061.391987133	2695098.2353438027	1125571.2846460799	466774.8965085679	195799.93282554287
7250.0	4.5	11217597.708679667	6769430.194698511	4099785.3782663513	2688558.7335657254	1126933.0785403645	471601.33957110357	196856.82963376414
7250.0	5.0	10852870.780856438	6695012.190330261	4102290.643594431	2688943.064355156	1128246.424162585	476527.3784514236	197816.16776053156
7500.0	2.0	16932111.15382462	8119816.805573235	4422984.265422765	3025585.487836097	1176668.3447887197	465473.00420260394	196937.26743277418
7500.0	2.5	16396265.242616644	8108898.6623785235	4473013.422365058	3000187.0130742164	1186788.2672954595	470606.75496578746	199180.20150860687
7500.0	3.0	15484933.637557112	8050149.075187518	4511906.362941241	2979513.3833098323	1194295.0649288716	475471.3932213982	201140.48612697728
7500.0	3.5	14577851.61448852	7896313.459917071	4499961.884149572	2943676.425411771	1193223.2105508642	478492.46048029495	202074.23685105832
7500.0	4.0	13751199.359851377	7700482.601379727	4474532.252608229	2910851.8342723874	1190428.5402600414	482198.506327875	203060.84801982297
7500.0	4.5	13191908.261244282	7602144.286328448	4484542.529035679	2904598.3962739804	1193230.2975090544	487804.25419714325	204342.12453266064
7500.0	5.0	12701460.442731217	7499917.511126593	4485025.483441188	2902066.8469181415	1194391.6478395269	493286.5178548701	205348.64176115056
7750.0	2.0	19539895.64161965	8960285.713715525	4775345.954136752	3253249.784075294	1236485.3286752403	481617.6090665076	203886.82842534324
7750.0	2.5	19057498.42749212	8957293.95172637	4822015.5252737105	3221868.2648516074	1245809.4045837198	485900.6192558473	205917.96014614042
7750.0	3.0	18374742.221498054	8936185.348891059	4873823.970325954	3199859.8217675923	1255369.7437300805	490917.22790882445	207986.18727537285
7750.0	3.5	17285738.744195845	8853752.680770976	4907778.218910579	3179649.0977496677	1261667.637893854	495666.2174906965	209817.19755329652
7750.0	4.0	16235986.57241784	8657485.271706477	4884719.867147082	3141022.7968633696	1258550.4687121764	498640.2502626228	210588.13635656203
7750.0	4.5	15385596.811348354	8488994.974286726	4880700.359325301	3125116.4301083474	1259565.466309642	504083.1566762425	211875.16761486323
7750.0	5.0	14743010.037643591	8362037.457002036	4882100.972991483	3119893.815463041	1260664.8658388727	509880.86809059937	212926.08049560338
8000.0	2.0	22207073.632597238	9808926.355559558	5131654.648087703	3487219.3943175892	1296220.7243405594	498786.7214500799	210988.2916356464
8000.0	2.5	21749070.090057928	9818638.183310961	5179966.066580099	3450425.3918828736	1305539.9272482006	502254.59000619804	212919.2013802615
8000.0	3.0	21123591.852993738	9811163.96102222	5231886.845792081	3419525.5503110574	1314725.8142590106	506414.7205949708	214826.8236127903
8000.0	3.5	20253865.48114859	9780138.229547545	5287635.973237779	3400152.374244945	1324155.799327609	511497.2486695298	216859.11241407014
8000.0	4.0	19006245.873897444	9658419.286426967	5309219.804409662	3378916.614766971	1328147.9792637792	516187.0973751619	218466.03148796913
8000.0	4.5	17841519.572274808	9433465.636427687	5286531.473893691	3348807.2310485467	1325665.4460391656	520396.1217903092	219416.97240938144
8000.0	5.0	16977891.934097167	9270501.247666055	5285508.352926984	3338646.411810735	1326576.416347835	526207.1298267228	220458.0257331151
8250.0	2.0	24838457.43441045	10658169.276398063	5494627.180944832	3720525.477539653	1356031.0415142712	516946.45971272717	218350.75652688873
8250.0	2.5	24477043.79696837	10671131.391343612	5537250.4350433415	3674094.151184672	1364321.790021888	519120.02023158054	219975.24275333827
8250.0	3.0	23871545.001351938	10680488.324329153	5591437.916088578	3638623.4319609734	1373389.9810626192	522512.9496044782	221831.57814786406
8250.0	3.5	23105778.09876097	10667997.736841144	5645131.476306957	3613540.7486641505	1382050.5450339194	526801.1281395861	223645.86089339794
8250.0	4.0	22027528.355849292	10620164.29654437	5702900.894208943	3601574.054502709	1391584.5189397114	532450.7291951146	225592.49288035516
8250.0	4.5	20627802.758663017	10457613.246245693	5716093.957357833	3582166.919810154	1394345.884547174	537667.9865552485	227166.6891618466
8250.0	5.0	19411060.217088114	10215343.096298482	5689595.405973916	3555904.607843457	1391055.0118323455	542148.2007555757	227837.66327973222
8500.0	2.0	27329087.055496752	11502458.170086602	5866144.359687914	3953521.0916692917	1416890.805496413	536249.5778747952	225931.35952007107
8500.0	2.5	27145478.688401986	11511968.578095146	5895417.2559068315	3899736.5498363054	1422717.786545264	536995.1960915923	227237.37194730784
8500.0	3.0	26614666.26235438	11532787.29356108	5947674.824118545	3860357.5535280313	1431344.1130737306	539457.888721873	228872.69598923737
8500.0	3.5	25870111.27354921	11540590.83893766	6005631.707176953	3830064.788532775	1440234.38761214	542992.281893401	230601.93686445462
8500.0	4.0	24953176.814667612	11517611.688712945	6061980.041008327	3808003.2006366737	1448554.0091216045	547564.5308840026	232349.3833583954
8500.0	4.5	23639999.4567581	11451025.397162626	6121411.465719842	3801895.666990146	1458217.0974048928	553883.6664793955	234297.16393231813
8500.0	5.0	22159229.32227073	11252872.54736187	6129449.97628884	3789997.109827068	1460052.5575517602	559905.7260731821	235764.94881790632
8750.0	2.0	29653055.752211392	12334799.51362872	6246910.699627003	4188518.1475558733	1478758.6895311212	556584.0439921108	233792.89859269495
8750.0	2.5	29686197.101159472	12333190.80955336	6252991.97656826	4124389.395534165	1480992.4452106268	555618.6983572181	234542.5720546853
8750.0	3.0	29271471.551182803	12357854.703321304	6296507.7665591	4076937.961724406	1488052.2736126175	556810.5399511344	235959.64015364603
8750.0	3.5	28597386.988309037	12387716.788045043	6356739.739229539	4040756.7651199475	1496790.4549498502	559416.0439036188	237572.48779560399
8750.0	4.0	27715877.513370935	12395087.470599644	6420837.808231149	4014904.250614576	1505658.333835162	563343.2235058168	239243.52816326148
8750.0	4.5	26627751.078738764	12367046.279215768	6484935.898316662	4003076.8762355596	1514278.4036705848	568687.3999849526	240927.31655234398
8750.0	5.0	25116072.474997733	12276892.621739572	6547651.823607239	4011248.853608933	1524166.0040468958	576316.6117486628	242994.9786842427
9000.0	2.0	31881483.798446253	13166524.800257768	6635830.344653277	4415911.39503081	1541347.5176791665	577369.114897696	241867.3780508444
9000.0	2.5	32113011.665931515	13152502.922552645	6617233.311226008	4343734.536593841	1539814.6178318113	574557.9803706796	242002.10931059875
9000.0	3.0	31811102.5294677	13169001.986881465	6647250.712432532	4287528.692829209	1544656.3688800484	574571.0952022653	243053.57698081445
9000.0	3.5	31204190.29199257	13203006.2158536	6702839.894184666	4247776.340943839	1552315.22490028	576447.2279356893	244511.55676582106
9000.0	4.0	30388749.2630131	13231753.381101744	6768161.565445676	4220830.408229704	1561094.7495632088	579750.7163431344	246139.7472218264
9000.0	4.5	29393562.770690005	13238869.50486294	6836726.420304659	4205669.325625199	1569807.512128795	584253.8876943418	247738.99697498832
9000.0	5.0	28253219.227736928	13230179.14542992	6912104.40687704	4205402.539361389	1578869.2763421398	590431.9468748218	249355.08069118042
9250.0	2.0	34068910.3797925	13998245.300399253	7033309.143611252	4640801.113739302	1604517.228847744	598731.3484083301	250196.3262614352
9250.0	2.5	34474115.69918108	13973548.023490066	6987893.779354571	4562597.942960498	1599323.7148729337	594120.6214461249	249639.95940370276
9250.0	3.0	34281626.30672623	13971802.737825505	6997913.466898308	4498717.812642648	1600888.3116068582	592775.6767322618	250187.2659676466
9250.0	3.5	33743749.50964022	13995067.701217895	7042256.863827589	4452407.86721368	1606840.8776322291	593640.7417751198	251393.18453284883
9250.0	4.0	32973638.251903437	14036541.015030287	7107652.299637001	4420999.027971053	1615027.9606568897	596128.2479091297	252905.1812431813
9250.0	4.5	32013951.09411756	14069410.552693073	7181265.174298129	4401372.385087196	1624000.749014683	600127.1390628642	254502.53502511766
9250.0	5.0	30902878.547904857	14075260.029537829	7257029.918286556	4396078.030219757	1632686.9381172587	605591.7781536444	256049.46884828183
9500.0	2.0	36231042.18333951	14827271.264891138	7435124.102723961	4861718.941779109	1667888.327913072	620368.4636415445	258677.39199705175
9500.0	2.5	36800346.67987619	14795572.987270609	7366148.526667454	4781550.926982661	1659485.5879729656	614254.8599341037	257436.56274172943
9500.0	3.0	36701531.40305584	14775103.792271499	7353680.499273582	4709909.397359391	1657814.3662285095	611378.8834271086	257474.94696350835
9500.0	3.5	36218490.20910785	14784179.984713515	7383791.119089787	4654527.86453088	1661114.432229964	611026.6843794781	258278.7453674702
9500.0	4.0	35482254.96198606	14819467.82713208	7440885.769001816	4614822.069403375	1667859.5219473788	612626.148740788	259574.9110419977
9500.0	4.5	34550071.26308028	14865928.134326149	7515161.790862094	4590751.113623699	1676383.9655737157	616026.4660239384	261074.18607235444
9500.0	5.0	33452024.464055363	14899957.206371496	7596136.474216345	4584930.81523679	1685417.2254490964	621068.3340571322	262649.6783641156
9750.0	2.0	38412058.47495862	15660947.174915746	7839440.976509717	5079929.351972085	1731482.1349212322	641995.2291478966	267269.1319033429
9750.0	2.5	39091307.75085499	15623612.687544737	7752008.0107321255	4998720.079881588	1720429.5068214042	634720.0898892495	265434.1801057112
9750.0	3.0	39082064.783068076	15582556.020156313	7717409.640541057	4919862.320872705	1715270.1255725313	630412.401484535	264895.2105164193
9750.0	3.5	38652347.55887012	15573582.137289662	7729159.710672943	4855700.5844154665	1715820.320684115	628758.3194477882	265297.7138450752
9750.0	4.0	37942674.8070851	15596715.816384355	7774168.610470223	4808026.633604956	1720577.469507751	629324.7403060414	266275.3681532546
9750.0	4.5	37026165.31879653	15642797.548961807	7842868.3918698765	4779473.235269588	1728113.4923677093	632073.3983055392	267613.91896255827
9750.0	5.0	35951195.17297275	15691674.841550624	7925083.612497744	4771001.870116562	1736823.807001959	636673.1501798924	269131.87872854987
10000.0	2.0	40612986.25954126	16498405.340557538	8244462.921563744	5296188.220676055	1795068.8416280434	663492.8811385694	275915.04683538526
10000.0	2.5	41393229.769624986	16457892.788906386	8142509.355986169	5213474.48073012	1781939.432638063	655343.0645102067	273589.53912779497
10000.0	3.0	41436775.63892395	16401611.090872398	8090021.674187671	5130698.952560964	1774022.0098277752	649852.11810409	272520.2166483885
10000.0	3.5	41050326.131502	16368276.959298804	8081618.807703262	5058290.458168785	1771456.3329368825	646948.8510152173	272433.6912590264
10000.0	4.0	40383748.497307755	16374572.350603957	8110701.656133076	5002794.828747848	1773477.1905929577	646465.5740565383	273058.25878204184
10000.0	4.5	39480012.68002796	16411022.92539439	8170300.8095937325	4967943.000332296	1779442.1361433296	648323.0148652438	274145.55663505365
10000.0	5.0	38405502.27665439	16465664.126362175	8251075.730311532	4953912.175534999	1787460.0494610106	652204.2451562921	275526.38515262457
10250.0	2.0	42839780.46699801	17336201.584895022	8647624.669429831	5511109.812335423	1858053.7365092607	684950.7263120178	284533.42748847196
10250.0	2.5	43709544.42227018	17294445.27338649	8536048.262173142	5426262.902260396	1843511.6500996363	676026.802936793	281815.6388048662
10250.0	3.0	43795094.86840338	17221444.15667458	8467138.78210801	5339692.559861625	1833168.4554422922	669572.2964464456	280248.63827536
10250.0	3.5	43439528.820368156	17171354.40448082	8441504.862959383	5262877.222540763	1827776.7768375475	665596.0473103692	279717.5870381132
10250.0	4.0	42784585.35120023	17156820.731945902	8454718.480257738	5202217.376760936	1827452.5333876857	664045.1330814984	279959.7874858296
10250.0	4.5	41905710.17725728	17175119.70226185	8498997.31014966	5158983.929033347	1830925.1464813768	664859.300858383	280757.8659230188
10250.0	5.0	40838502.68545158	17230402.810797278	8574192.105567643	5136893.078644705	1837765.5744939132	667878.6351421772	281916.57779045065
10500.0	2.0	45094458.23791335	18175741.80718035	9049981.390854025	5724578.19350622	1920724.4773687671	706168.3974814198	293134.68163246085
10500.0	2.5	46031831.24101086	18131832.406307478	8931222.176001308	5637996.872049409	1905013.6545436878	696678.1453978656	290080.28063714755
10500.0	3.0	46147759.04583323	18048000.84477198	8848257.782358484	5548378.424507635	1892581.3201699052	689350.8489901087	288109.59080674185
10500.0	3.5	45820797.28121802	17979840.311800182	8805703.730629815	5467313.855911975	1884663.9082163798	684410.8662377853	287127.8988683785
10500.0	4.0	45189215.35237242	17944768.367756557	8802278.267657088	5400146.784448174	1881694.1948690831	681881.2015553552	286959.26561670325
10500.0	4.5	44318641.45206631	17949178.373877466	8835455.6108132	5350521.666760221	1883163.677296715	681693.2128019329	287444.10357343504
10500.0	5.0	43236535.735564545	17991210.194162376	8899540.050675778	5319358.815631614	1888458.3972579394	683931.9790531853	288383.8879331252
10750.0	2.0	47373585.744664475	19013928.99135546	9450078.096169423	5937080.426204995	1982739.2154769688	727150.9244396032	301617.26558813534
10750.0	2.5	48384373.42153009	18975092.535778746	9325931.119166452	5849366.486247933	1966558.8359273828	717298.2800435399	298378.51356119144
10750.0	3.0	48519157.21642237	18879689.610742718	9232240.54051935	5756425.00539556	1952396.6916304696	709342.1749865693	296055.4696826104
10750.0	3.5	48200314.42720559	18793359.743308153	9175921.243862975	5671298.003223845	1942075.741000945	703531.3898047364	294658.1337181362
10750.0	4.0	47574785.28398324	18738268.121433914	9155889.534391819	5598132.98062296	1936579.5096005853	699985.4795472574	294081.5769531388
10750.0	4.5	46714585.48447074	18722783.807303194	9174633.850446153	5541169.082474737	1935798.4400827654	698781.0647426139	294226.11183864943
10750.0	5.0	45642695.42445282	18755214.12235883	9227899.395151375	5503752.52519479	1939123.3726792177	700210.1102360535	294891.4430852052
